,Date,Team_1,Team_2,Winner,Margin,Ground,Winner 
332,24-01-2019,Bahrain,Qatar,Qatar,48 runs,Al Amerat,
333,24-01-2019,Qatar,Saudi Arabia,Saudi Arabia,8 wickets,Al Amerat,
334,31-01-2019,U.A.E.,Nepal,U.A.E.,21 runs,ICCA Dubai,
335,01-02-2019,U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,
336,01-02-2019,South Africa,Pakistan,South Africa,6 runs,Cape Town,
337,03-02-2019,U.A.E.,Nepal,Nepal,14 runs,ICCA Dubai,
338,03-02-2019,South Africa,Pakistan,South Africa,7 runs,Johannesburg,
339,06-02-2019,New Zealand,India,New Zealand,80 runs,Wellington,
340,06-02-2019,South Africa,Pakistan,Pakistan,27 runs,Centurion,
341,08-02-2019,New Zealand,India,India,7 wickets,Auckland,
342,10-02-2019,New Zealand,India,New Zealand,4 runs,Hamilton,
343,13-02-2019,Netherlands,Scotland,Netherlands,7 wickets,Al Amerat,
344,13-02-2019,Oman,Ireland,Ireland,15 runs,Al Amerat,
345,15-02-2019,Oman,Netherlands,Netherlands,8 wickets,Al Amerat,
346,15-02-2019,Ireland,Scotland,Scotland,6 wickets,Al Amerat,
347,17-02-2019,Ireland,Netherlands,Ireland,1 wicket,Al Amerat,
348,17-02-2019,Oman,Scotland,Scotland,7 wickets,Al Amerat,
349,21-02-2019,Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,
350,23-02-2019,Afghanistan,Ireland,Afghanistan,84 runs,Dehradun,
351,24-02-2019,Afghanistan,Ireland,Afghanistan,32 runs,Dehradun,
352,24-02-2019,India,Australia,Australia,3 wickets,Visakhapatnam,
353,27-02-2019,India,Australia,Australia,7 wickets,Bengaluru,
354,05-03-2019,West Indies,England,England,4 wickets,Gros Islet,
355,08-03-2019,West Indies,England,England,137 runs,Basseterre,
356,10-03-2019,West Indies,England,England,8 wickets,Basseterre,
357,15-03-2019,U.A.E.,U.S.A.,no result,,ICCA Dubai,
358,16-03-2019,U.A.E.,U.S.A.,U.A.E.,24 runs,ICCA Dubai,
359,19-03-2019,South Africa,Sri Lanka,tied,,Cape Town,
360,22-03-2019,P.N.G.,Philippines,P.N.G.,133 runs,Port Moresby,
361,22-03-2019,P.N.G.,Vanuatu,P.N.G.,8 wickets,Port Moresby,
362,22-03-2019,South Africa,Sri Lanka,South Africa,16 runs,Centurion,
363,23-03-2019,Philippines,Vanuatu,Vanuatu,63 runs,Port Moresby,
364,23-03-2019,P.N.G.,Philippines,no result,,Port Moresby,
365,24-03-2019,Philippines,Vanuatu,Philippines,10 runs,Port Moresby,
366,24-03-2019,P.N.G.,Vanuatu,P.N.G.,10 wickets,Port Moresby,
367,24-03-2019,South Africa,Sri Lanka,South Africa,45 runs,Johannesburg,
368,29-03-2019,Spain,Malta,Spain,7 wickets,Cartagena,
369,30-03-2019,Spain,Malta,Spain,109 runs,Cartagena,
